"","Viv1","Viv2","Viv3","Hfd1","Hfd2","Hfd3"
"ENSMUSG00000089245",0,0,0,0,0,0
"ENSMUSG00000025982",2870,1742,2018,1925,2081,2261
"ENSMUSG00000025981",559,325,368,328,395,313
"ENSMUSG00000025980",5841,3747,5165,3669,3909,4185
"ENSMUSG00000073676",1235,974,1119,849,875,877
"ENSMUSG00000089670",96,91,104,60,107,103
"ENSMUSG00000025979",731,499,597,494,512,524
"ENSMUSG00000061863",330,246,267,267,280,291
"ENSMUSG00000025978",37,25,34,30,41,54
"ENSMUSG00000073675",0,0,0,1,0,1
"ENSMUSG00000046994",57,33,46,59,37,38
"ENSMUSG00000025977",2,0,0,1,4,1
"ENSMUSG00000089944",510,415,417,292,338,379
"ENSMUSG00000038349",13,7,4,18,7,18
"ENSMUSG00000073674",21,11,21,21,18,19
"ENSMUSG00000045336",0,0,0,0,0,0
"ENSMUSG00000038331",23,5,18,17,12,11
"ENSMUSG00000087022",0,0,0,1,0,0
"ENSMUSG00000093027",0,0,0,0,0,0
"ENSMUSG00000084958",0,3,1,5,0,0
"ENSMUSG00000038323",991,796,756,655,1003,954
"ENSMUSG00000048495",220,190,139,154,159,158
"ENSMUSG00000025971",325,239,311,227,292,265
"ENSMUSG00000077776",0,0,0,0,0,0
"ENSMUSG00000088353",0,0,0,0,0,0
"ENSMUSG00000038305",24,19,19,42,36,25
"ENSMUSG00000089176",0,0,0,0,0,0
"ENSMUSG00000091283",0,0,0,0,0,0
"ENSMUSG00000054770",124,69,86,91,87,80
"ENSMUSG00000026039",4,2,2,1,5,3
"ENSMUSG00000063558",3277,2174,2926,2612,2278,3215
"ENSMUSG00000064294",24095,10800,17016,8691,12851,13538
"ENSMUSG00000089275",0,0,0,0,0,0
"ENSMUSG00000038242",0,0,0,0,0,0
"ENSMUSG00000089822",0,0,0,0,0,0
"ENSMUSG00000079554",2,1,1,2,0,2
"ENSMUSG00000051223",2759,1635,2209,2103,1931,2088
"ENSMUSG00000026034",1464,1322,818,827,936,1106
"ENSMUSG00000026035",238,139,125,157,164,151
"ENSMUSG00000026036",384,207,258,247,312,281
"ENSMUSG00000026037",144,92,118,99,101,118
"ENSMUSG00000064701",0,0,0,0,0,0
"ENSMUSG00000085054",2,0,3,1,0,1
"ENSMUSG00000038174",804,489,764,578,447,735
"ENSMUSG00000026032",1031,653,809,711,730,751
"ENSMUSG00000059647",146,119,111,108,105,126
"ENSMUSG00000047528",8,0,2,14,3,2
"ENSMUSG00000026031",3370,1894,2283,2015,1952,2810
"ENSMUSG00000026029",672,426,547,470,542,575
"ENSMUSG00000026028",624,355,588,564,486,607
"ENSMUSG00000026027",974,628,944,800,883,1019
"ENSMUSG00000047383",0,1,0,1,1,0
"ENSMUSG00000090590",0,0,0,0,0,0
"ENSMUSG00000072295",0,0,0,0,0,0
"ENSMUSG00000077616",0,0,0,0,0,0
"ENSMUSG00000038079",70,35,61,122,95,113
"ENSMUSG00000079550",15,14,22,6,28,16
"ENSMUSG00000026024",2954,1492,2227,1630,1442,1942
"ENSMUSG00000026023",0,0,0,0,2,1
"ENSMUSG00000041075",331,181,440,237,321,308
"ENSMUSG00000092149",6,4,5,4,8,8
"ENSMUSG00000047361",0,1,0,1,0,1
"ENSMUSG00000089276",0,0,0,0,0,0
"ENSMUSG00000026021",327,243,250,265,271,289
"ENSMUSG00000026020",522,330,237,320,348,258
"ENSMUSG00000077345",0,0,0,0,0,0
"ENSMUSG00000077358",1,1,0,0,1,0
"ENSMUSG00000089512",0,0,0,0,0,0
"ENSMUSG00000089093",0,0,0,0,0,0
"ENSMUSG00000067336",411,111,411,363,145,498
"ENSMUSG00000041040",251,140,236,225,172,229
"ENSMUSG00000026018",0,0,0,1,1,1
"ENSMUSG00000026019",292,220,269,215,273,237
"ENSMUSG00000026017",59,28,47,34,24,57
"ENSMUSG00000082609",473,380,301,253,314,274
"ENSMUSG00000073664",817,428,714,795,581,949
"ENSMUSG00000049439",329,188,259,266,258,250
"ENSMUSG00000026782",85,46,64,70,66,92
"ENSMUSG00000026014",752,326,580,451,491,526
"ENSMUSG00000081562",211,142,182,130,126,183
"ENSMUSG00000084400",1,0,0,0,0,0
"ENSMUSG00000082160",0,1,0,0,2,2
"ENSMUSG00000088973",0,0,0,0,0,0
"ENSMUSG00000084151",0,0,0,0,0,0
"ENSMUSG00000082209",2512,1600,1920,1701,2240,1763
"ENSMUSG00000026012",13,5,6,3,5,4
"ENSMUSG00000086795",0,0,0,0,0,0
"ENSMUSG00000085965",0,0,0,0,0,0
"ENSMUSG00000083118",0,0,0,0,0,0
"ENSMUSG00000083355",27,19,21,27,35,34
"ENSMUSG00000026011",1,1,2,1,0,0
"ENSMUSG00000081382",246,221,216,151,173,156
"ENSMUSG00000080800",9,3,6,1,5,11
"ENSMUSG00000026009",35,16,25,23,18,21
"ENSMUSG00000082804",20,27,22,14,11,16
"ENSMUSG00000082661",0,0,0,0,0,0
"ENSMUSG00000080785",0,0,0,0,0,0
"ENSMUSG00000085248",0,0,0,0,0,0
"ENSMUSG00000085447",0,0,0,0,0,0
"ENSMUSG00000086408",0,0,0,0,0,0
"ENSMUSG00000089546",0,0,0,0,0,0
"ENSMUSG00000086009",0,0,0,0,0,0
"ENSMUSG00000052062",166,87,168,119,122,158
"ENSMUSG00000085842",1,0,0,0,0,0
"ENSMUSG00000085019",0,0,0,0,0,0
"ENSMUSG00000085400",24,16,14,16,9,16
"ENSMUSG00000046526",0,0,0,0,0,0
"ENSMUSG00000081950",0,0,0,0,0,0
"ENSMUSG00000084333",933,573,569,528,503,597
"ENSMUSG00000025969",572,312,322,605,483,491
"ENSMUSG00000040865",543,273,482,371,312,510
"ENSMUSG00000088953",0,0,0,0,0,0
"ENSMUSG00000081617",17,11,15,13,7,16
"ENSMUSG00000081429",122,116,92,72,69,73
"ENSMUSG00000084799",4,2,4,2,3,4
"ENSMUSG00000025968",3259,2120,2738,2437,2383,2562
"ENSMUSG00000025967",4434,3326,3711,2834,3245,3107
"ENSMUSG00000064612",2,1,1,0,1,0
"ENSMUSG00000064602",1,4,2,2,3,3
"ENSMUSG00000046856",0,0,1,0,2,0
"ENSMUSG00000092874",0,0,0,0,0,0
"ENSMUSG00000086730",0,0,0,0,0,0
"ENSMUSG00000087561",0,0,0,0,0,0
"ENSMUSG00000092705",0,0,0,0,0,0
"ENSMUSG00000027520",0,0,0,0,0,0
