entrez_id,control_FFa1.bam,control_FFa2.bam,control_FFa3.bam,mutant_KOa1.bam,mutant_KOa2.bam,mutant_KOa3.bam,mutant_KOb1.bam,mutant_KOb2.bam,mutant_KOb3.bam
57751,162,162,239,228,218,147,463,472,459
269209,28,35,23,123,21,22,30,16,34
67534,217,91,323,195,206,218,319,555,386
104086,34,86,97,38,38,24,36,25,42
241113,40,20,33,146,33,94,103,22,17
22420,8,22,10,30,0,29,10,14,27
22409,61,46,29,44,9,40,8,9,19
12570,10,10,22,50,0,8,14,34,2
260298,8,11,2,9,6,15,0,5,1
12958,0,14,0,12,17,0,6,6,9
723900,2,0,1,2,4,0,0,0,0
241116,31,11,6,123,16,45,47,54,30
16147,16,10,9,111,2,23,21,19,59
75570,154,98,177,147,183,171,261,297,235
22626,23,22,33,95,65,50,96,93,92
69171,2458,1715,3087,3301,4333,4695,8077,7999,6792
227298,1771,1656,2471,1420,2021,1433,4007,5380,3746
68818,721,592,818,532,770,641,1386,1485,1269
74104,3266,2147,4250,3858,4625,5041,7800,8519,7192
245860,1450,1126,1865,1482,1577,1531,2448,2553,1842
52231,222,170,197,254,237,300,301,425,359
74577,132,38,138,69,120,64,122,235,164
20872,1393,999,1930,1307,1690,1665,2286,3002,2591
22145,8614,8614,11849,14531,16089,20305,24485,23606,21145
56812,3297,2601,4895,2275,2660,2765,3471,4051,2823
19275,13,4,10,132,63,91,16,60,29
19711,3,0,0,12,0,5,5,3,0
13437,237,274,402,265,488,333,1057,1192,851
13346,26,0,2,44,6,32,25,12,4
100503248,0,0,2,17,1,12,0,0,7
11790,49,70,84,218,51,118,91,116,97
69080,132,282,187,154,219,236,398,508,523
241118,14,6,13,36,5,17,17,5,0
74241,10,26,35,51,0,32,13,14,34
319998,8,12,12,33,8,49,44,8,21
98733,54,39,16,165,25,75,24,77,54
16322,0,0,2,32,0,4,10,10,14
71728,113,140,195,268,218,197,257,397,228
20536,45,19,2,127,42,66,35,43,25
620079,0,0,2,32,12,0,2,9,6
13838,43,14,14,99,2,41,26,37,48
18505,21,25,20,76,31,79,43,49,36
100039210,4,6,2,18,0,1,0,4,6
433323,198,196,167,303,204,188,338,420,230
23874,414,232,678,317,590,532,1331,1866,1348
68393,7,0,16,8,0,12,0,5,0
74205,79,4,79,70,56,141,200,159,155
195434,83,31,46,156,88,72,126,222,70
57814,10,0,0,31,4,16,16,0,4
20254,16,0,0,9,0,10,28,16,12
252903,468,200,359,1406,433,642,843,645,550
69368,144,83,164,197,144,119,270,366,332
100038695,7,0,6,8,2,5,3,21,10
69163,157,106,134,116,109,172,323,541,329
20720,9,0,29,40,16,16,61,66,26
241128,0,0,0,41,0,2,10,8,22
100503052,61,11,75,48,52,38,174,172,95
26554,3521,1050,5011,2679,4140,3122,6966,8199,6777
210293,545,209,648,274,412,270,1098,1304,876
241134,16,6,10,51,14,4,20,0,6
16367,62,125,20,111,25,89,101,38,50
100503073,2,2,2,22,0,4,20,3,14
76867,133,51,149,143,143,154,207,246,200
100503095,12,14,10,36,23,12,2,6,5
12829,37,8,4,152,35,67,84,53,57
12828,35,3,27,102,23,69,78,35,83
75734,4820,2376,5517,2527,3737,4504,5406,6059,5187
66261,3,10,11,15,5,10,29,27,10
15463,1076,382,1701,1382,1158,1833,2086,2309,2868
80721,4,0,0,30,20,22,4,1,10
71386,4,0,2,28,0,3,0,0,30
20297,0,0,2,4,0,16,0,0,0
71227,7,0,0,10,0,4,2,0,1
77629,20,0,4,57,0,10,19,14,11
98496,65,38,50,38,31,7,26,24,0
227325,13,8,11,40,5,20,20,16,20
14897,5488,2229,7984,7079,7396,8845,14327,16527,13865
66153,24,21,60,53,40,27,65,94,64
71781,5,8,22,40,2,14,9,8,10
100503433,0,0,0,10,0,0,0,4,0
665317,0,0,0,4,0,0,0,0,0
381287,98,54,40,115,65,91,50,96,50
621875,2,0,15,29,0,0,0,0,4
100039742,32,1,4,6,3,9,7,23,17
665378,407,233,247,1499,372,587,660,485,360
620078,56,51,29,267,30,98,107,105,38
100040213,0,0,0,0,0,0,0,0,0
100039794,0,0,0,2,0,0,0,0,0
665338,0,0,0,0,0,2,2,0,0
109032,971,448,1055,847,604,707,1152,1487,1150
434484,290,130,476,335,169,300,562,642,317
100503502,0,0,0,0,0,0,3,0,0
100503045,0,1,0,43,0,13,12,12,17
20684,3266,1110,4521,2389,2178,2736,3560,3534,3782
319997,115,105,135,102,79,25,185,132,127
12283,1706,636,2473,1051,1769,1375,3319,4201,3549
64294,172,155,202,155,224,243,382,395,310
71141,8,0,0,7,0,13,10,0,8
227326,6,28,4,21,2,20,5,0,28
70060,1,14,0,55,10,3,12,3,19
72792,10,14,0,67,6,16,30,14,10
70247,3326,1561,4592,4299,5103,5365,8144,9579,8809
15559,35,19,21,26,43,40,48,71,30
78795,155,219,396,160,214,115,192,226,181
227327,0,0,19,70,16,40,72,56,17
383538,4,0,0,0,2,5,0,1,5
17975,14247,11969,19509,15397,20018,17880,46058,53706,45968
100303740,10,2,5,7,4,0,14,22,20
80828,2,4,0,0,0,3,1,0,0
319336,41,16,33,25,53,70,68,105,64
14767,14,45,0,39,0,6,7,8,8
71863,7,4,0,38,0,4,4,0,6
19231,7724,7252,10501,4228,7155,5995,14011,19107,15166
100502660,0,0,1,0,0,0,0,0,0
18582,175,163,374,172,278,329,717,864,532
26895,114,68,166,136,153,97,206,284,242
18159,7,0,1,4,2,4,20,6,0
208718,178,142,142,203,227,213,441,545,364
620213,30,45,34,21,34,42,59,66,42
11650,5,0,5,37,2,38,9,0,18
76768,17,4,4,38,6,1,27,2,16
11648,4,0,5,41,0,18,0,8,5
13599,17,38,30,45,28,40,37,21,37
69453,7,0,4,33,22,37,31,9,21
11447,0,6,8,44,2,37,14,17,8
11449,22,2,19,92,31,26,28,8,0
26987,1798,1662,2651,2062,2289,2253,4370,4950,4258
98363,4,7,6,11,10,9,28,15,2
227331,2724,1501,3316,2198,2881,2399,4238,5052,3732
100040591,6,7,48,47,2,4,28,53,5
73234,0,10,1,11,0,0,4,3,8
53972,11,0,13,52,9,19,1,8,6
319977,0,0,0,5,0,8,26,0,0
23956,2,14,3,15,22,10,4,12,29
16331,1289,931,1387,1112,1201,945,2179,2711,1754
77040,319,319,584,462,354,347,644,831,662
100217415,22,14,34,18,0,1,4,10,4
20215,1,7,17,36,2,43,43,16,26
100503175,2,0,6,0,0,16,2,12,0
227333,1029,1037,1324,544,621,700,1082,1401,964
227334,107,71,151,130,80,96,212,283,142
394430,4,0,0,9,0,10,14,0,7
394434,0,23,0,0,0,8,9,19,0
394432,14,24,20,15,39,4,30,28,28
394435,0,0,4,0,0,4,12,11,0
94284,0,0,0,0,0,0,3,0,0
394433,14,2,0,20,4,20,0,2,7
22236,0,0,14,18,0,7,2,1,7
15504,603,320,587,475,1123,661,650,1527,718
394436,12,16,11,90,22,46,20,14,30
100040766,147,51,99,499,111,229,199,200,115
381280,3787,3322,4917,3046,3644,3089,5166,6939,4881
171382,10,0,4,43,12,26,30,40,9
75396,5,0,0,19,0,18,9,2,0
14659,27,40,73,289,300,300,319,352,262
100503197,18,0,4,59,23,38,31,17,13
320982,108,101,101,96,67,60,37,136,60
98402,32,15,1,54,2,26,15,28,34
347722,1196,627,1312,558,655,617,1352,1712,956
74403,1,0,16,37,6,12,6,0,8
14472,0,0,18,38,0,54,17,32,16
208372,4,23,20,19,17,10,3,16,17
74918,3,8,6,30,10,10,30,6,13
